"","X25trials","X100trials","X1000trials","theory"
"1",0,0,0,0
"2",0,0.01,0.002,0.00273972602739726
"3",0,0,0.007,0.00820416588478138
"4",0,0,0.014,0.0163559124665503
"5",0.08,0.02,0.028,0.0271355736997936
"6",0.04,0.06,0.039,0.0404624836491115
"7",0.2,0.02,0.043,0.0562357030959754
"8",0.04,0.07,0.087,0.074335292351669
"9",0.16,0.06,0.097,0.0946238338891667
"10",0.12,0.1,0.113,0.116948177711078
"11",0.04,0.13,0.144,0.141141378321733
"12",0.04,0.15,0.165,0.167024788838064
"13",0.28,0.2,0.2,0.194410275232429
"14",0.16,0.25,0.238,0.223102512004973
"15",0.16,0.27,0.25,0.252901319763686
"16",0.16,0.31,0.314,0.28360400525285
"17",0.52,0.3,0.342,0.315007665296561
"18",0.36,0.32,0.369,0.346911417871789
"19",0.4,0.48,0.398,0.379118526031537
"20",0.52,0.37,0.435,0.41143838358058
"21",0.44,0.58,0.465,0.443688335165206
"22",0.52,0.55,0.503,0.47569530766255
"23",0.52,0.49,0.524,0.507297234323985
"24",0.6,0.62,0.579,0.538344257914529
"25",0.52,0.61,0.578,0.568699703969464
"26",0.8,0.62,0.609,0.598240820135939
"27",0.68,0.61,0.627,0.626859282263242
"28",0.64,0.67,0.685,0.654461472342399
"29",0.64,0.69,0.704,0.680968537477777
"30",0.76,0.75,0.731,0.706316242719269
"31",0.8,0.74,0.771,0.730454633728644
"32",0.8,0.71,0.784,0.753347527850321
"33",0.92,0.77,0.792,0.774971854175772
"34",0.72,0.81,0.819,0.795316864620154
"35",0.92,0.84,0.834,0.814383238874715
"36",0.8,0.83,0.839,0.832182106379879
"37",0.88,0.91,0.852,0.848734008216385
"38",0.96,0.89,0.888,0.864067821082121
"39",0.92,0.89,0.881,0.878219664366722
"40",0.96,0.92,0.897,0.891231809817949
"41",0.92,0.92,0.93,0.903151611481735
"42",1,0.95,0.927,0.914030471561869
"43",1,0.9,0.933,0.92392285565612
"44",0.8,0.95,0.933,0.932885368551426
"45",0.96,0.95,0.947,0.940975899465775
"46",1,0.94,0.951,0.948252843367255
"47",0.96,0.96,0.972,0.954774402833299
"48",0.96,0.95,0.965,0.960597972879423
"49",1,0.99,0.974,0.965779609322676
"50",1,0.97,0.975,0.970373579577988
"51",0.96,0.99,0.976,0.974431993334428
"52",1,1,0.973,0.978004509334275
"53",1,0.99,0.99,0.981138113483913
"54",1,0.98,0.985,0.983876962758852
"55",1,0.99,0.984,0.986262288816446
"56",1,0.98,0.992,0.988332354885201
"57",1,0.99,0.994,0.99012245934117
"58",1,0.99,0.993,0.991664979389261
"59",1,1,0.994,0.992989448417817
"60",1,1,0.995,0.994122660865348
"61",1,1,0.998,0.995088798805291
"62",1,1,0.994,0.995909574895366
"63",1,1,0.999,0.996604386830947
"64",1,0.99,1,0.997190478966976
"65",1,1,0.999,0.997683107312492
"66",1,1,0.999,0.998095704640405
"67",1,1,0.999,0.9984400429794
"68",1,1,1,0.998726391254414
"69",1,1,1,0.998963666308386
"70",1,1,1,0.999159575965157
